PACIFIC Exchange Rate Service,,,,,,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,PHP/XDR,XPT/XDR,PLN/XDR,PTE/XDR,RON/XDR,RUB/XDR,SAR/XDR,RSD/XDR,XAG/XDR,SGD/XDR
2458880,2020/1/31,Fri,70.406,0.0014393,5.3707,249.9,5.9676,88.153,5.1787,,0.077175,1.8844
2458883,2020/2/3,Mon,70.229,0.0014249,5.3605,249.53,5.9618,87.682,5.1648,,0.077462,1.8838
2458884,2020/2/4,Tue,69.851,0.0014271,5.323,249.77,5.9468,86.735,5.1614,,0.077591,1.8851
2458885,2020/2/5,Wed,69.78,0.0014108,5.2984,250.37,5.9522,86.419,5.1554,,0.077985,1.8978
2458886,2020/2/6,Thu,69.697,0.001405,5.3007,250.58,5.9506,86.872,5.1505,,0.07727,1.9017
2458887,2020/2/7,Fri,69.711,0.0014118,5.3271,250.91,5.9466,87.859,5.1422,,0.077146,1.9057
2458890,2020/2/10,Mon,69.662,0.0014169,5.3389,251.48,5.9656,87.776,5.139,,0.077038,1.9035
2458891,2020/2/11,Tue,69.191,0.0014215,5.3493,251.67,5.9932,86.778,5.1396,,0.077399,1.9001
2458892,2020/2/12,Wed,69.221,0.0014232,5.3373,252.1,5.9781,86.412,5.1348,,0.077969,1.898
2458893,2020/2/13,Thu,69.075,0.0014179,5.3526,252.91,5.9988,86.867,5.1324,,0.077567,1.9009
2458894,2020/2/14,Fri,69.154,0.0014073,5.3614,252.88,6.0167,87.005,5.1311,,0.07726,1.9043
2458898,2020/2/18,Tue,69.182,0.0013939,5.3966,253.44,6.0375,87.32,5.1231,,0.076376,1.9017
2458899,2020/2/19,Wed,69.003,0.0013569,5.3963,253.27,6.0381,86.744,5.1142,,0.074335,1.9012
2458900,2020/2/20,Thu,69.055,0.0013812,5.4039,252.84,6.0543,87.154,5.1074,,0.074073,1.9076
2458901,2020/2/21,Fri,69.253,0.0013982,5.398,252.27,6.0539,87.6,5.1193,,0.073525,1.9084
2458904,2020/2/24,Mon,69.694,0.0014163,5.423,252.29,6.0631,89.355,5.1215,,0.07272,1.911
2458905,2020/2/25,Tue,69.806,0.0014245,5.4236,252.31,6.0649,89.377,5.1304,,0.074603,1.9129
2458906,2020/2/26,Wed,69.817,0.0014874,5.4174,251.9,6.0404,89.381,5.1295,,0.075623,1.9102
2458907,2020/2/27,Thu,69.814,0.0015037,5.3986,250.36,6.0216,90.482,5.1453,,0.075975,1.9126
2458908,2020/2/28,Fri,70.016,0.0015766,5.406,250.38,6.0147,92.207,5.1512,,0.07991,1.9154
2458911,2020/3/2,Mon,70.109,0.0016103,5.369,248.17,5.9682,92.068,5.1775,,0.081588,1.9172
2458912,2020/3/3,Tue,70.135,0.001602,5.3615,248.09,5.9727,91.217,5.1821,,0.082149,1.9178
2458913,2020/3/4,Wed,70.036,0.0015745,5.3463,248.78,5.9815,91.409,5.1813,,0.080048,1.9117
2458914,2020/3/5,Thu,70.24,0.0015993,5.3224,247.99,5.9509,93.04,5.1972,,0.080525,1.919
2458915,2020/3/6,Fri,70.647,0.001555,5.2845,246.56,5.9067,95.101,5.2216,,0.079616,1.9184
2458918,2020/3/9,Mon,70.764,0.0016098,5.2612,245.39,5.8763,104.296,5.258,,0.082946,1.9374
2458919,2020/3/10,Tue,70.627,0.0016027,5.3102,246.22,5.9139,99.86,5.2278,,0.081588,1.9363
2458920,2020/3/11,Wed,70.383,0.0015816,5.2963,246.66,5.9136,100.36,5.218,,0.081681,1.9343
2458921,2020/3/12,Thu,70.872,0.0017071,5.3603,247.83,5.9276,102.946,5.1837,,0.083574,1.9438
2458922,2020/3/13,Fri,70.094,0.0017577,5.4098,248.26,5.9862,100.301,5.1586,,0.087161,1.9432
2458925,2020/3/16,Mon,71.301,0.0020338,5.4529,247.51,5.9817,102.435,5.1685,,0.106201,1.9556
2458926,2020/3/17,Tue,70.667,0.0021002,5.5756,249.48,6.0492,102.758,5.1311,,0.109904,1.9542
2458927,2020/3/18,Wed,70.581,0.0021531,5.6286,250.34,6.0588,109.353,5.0996,,0.109389,1.9618
2458928,2020/3/19,Thu,69.557,0.0022741,5.7059,251.94,6.0613,107.757,5.0719,,0.112332,1.9545
2458929,2020/3/20,Fri,69.493,0.0021948,5.7365,252.64,6.1404,107.182,5.064,,0.1067,1.9543
2458932,2020/3/23,Mon,69.798,0.0021649,5.8,251.27,6.1053,107.793,5.0641,,0.107811,1.969
2458933,2020/3/24,Tue,69.014,0.0019761,5.7511,251.17,6.0267,106.219,5.0769,,0.099204,1.9565
2458934,2020/3/25,Wed,68.794,0.0018737,5.7049,250.34,6.0322,106.192,5.0809,,0.096873,1.9585
2458935,2020/3/26,Thu,69.514,0.0018386,5.6807,248.61,6.0019,105.87,5.124,,0.094642,1.9549
2458936,2020/3/27,Fri,69.589,0.0018452,5.6174,248.51,5.998,107.932,5.1428,,0.095642,1.9591
2458939,2020/3/30,Mon,69.699,0.0018858,5.6445,248.86,5.9879,109.249,5.1435,,0.097409,1.9502
2458940,2020/3/31,Tue,69.412,0.0018814,5.6541,249.63,5.9992,107.028,5.1484,,0.098187,1.9472
2458941,2020/4/1,Wed,69.345,0.0019131,5.7029,250.57,6.0172,107.827,5.1388,,0.097463,1.961
2458942,2020/4/2,Thu,69.399,0.0018748,5.7157,251.65,6.0438,106.478,5.1289,,0.096154,1.9519
2458943,2020/4/3,Fri,68.822,0.0019027,5.747,252.29,6.0662,104.412,5.1095,,0.094406,1.9556
2458946,2020/4/6,Mon,68.645,0.0018529,5.7314,252.22,6.0694,103.545,5.107,,0.093313,1.9459
2458947,2020/4/7,Tue,68.64,0.0018404,5.6692,250.82,6.039,103.04,5.1271,,0.090461,1.9405
2458948,2020/4/8,Wed,69.02,0.001839,5.705,251.35,6.0719,102.763,5.1244,,0.090455,1.9435
2458949,2020/4/9,Thu,68.759,0.0018586,5.7053,250.72,6.0487,100.924,5.1385,,0.090023,1.9376
2458953,2020/4/13,Mon,,,,251.09,,100.57,5.1398,,,1.9344
2458954,2020/4/14,Tue,69.252,0.0018008,5.6789,250.44,6.0373,100.177,5.151,,0.088354,1.9387
2458955,2020/4/15,Wed,69.442,0.0017562,5.6975,251.21,6.0738,102.266,5.1365,,0.087756,1.9457
2458956,2020/4/16,Thu,69.483,0.0017262,5.6786,251.84,6.0654,101.253,5.1246,,0.087982,1.9473
2458957,2020/4/17,Fri,69.331,0.0017498,5.6655,251.67,6.0631,101.101,5.1281,,0.090031,1.9411
2458960,2020/4/20,Mon,69.118,0.0017511,5.6763,251.65,6.0656,101.935,5.1185,,0.090039,1.9379
2458961,2020/4/21,Tue,69.223,0.0019044,5.6904,251.58,6.0776,105.05,5.1109,,0.09096,1.949
2458962,2020/4/22,Wed,69.056,0.0017819,5.684,251.94,6.0652,103.606,5.1238,,0.091309,1.9436
2458963,2020/4/23,Thu,68.587,0.0017788,5.7034,252.65,6.0862,101.52,5.1167,,0.088911,1.9365
2458964,2020/4/24,Fri,69.355,0.0017832,5.7216,252.61,6.1177,101.434,5.1164,,0.088842,1.9386
2458967,2020/4/27,Mon,69.034,0.0017838,5.6856,252.16,6.0727,101.441,5.125,,0.089632,1.934
2458968,2020/4/28,Tue,69.129,0.0017601,5.7115,252.17,6.0854,101.152,5.1283,,0.090068,1.9326
2458969,2020/4/29,Wed,68.768,0.0017495,5.7063,251.95,6.0822,100.043,5.1291,,0.089984,1.928
2458970,2020/4/30,Thu,69.132,0.0017837,5.7222,251.23,6.1129,101.439,5.1404,,0.089212,1.929
2458971,2020/5/1,Fri,,0.0017914,,250.08,,103.469,5.1472,,0.092315,1.9402
2458974,2020/5/4,Mon,69.272,0.0017866,5.7125,251.09,6.0502,102.837,5.1363,,0.091546,1.9369
2458975,2020/5/5,Tue,69.123,0.0017935,5.7094,252.19,6.0804,100.853,5.125,,0.092534,1.9316
2458976,2020/5/6,Wed,69.014,0.0018282,5.7356,252.67,6.0944,101.515,5.1163,,0.09035,1.9344
2458977,2020/5/7,Thu,68.529,0.0017965,5.7174,252.7,6.0655,100.605,5.1152,,0.090904,1.9287
2458978,2020/5/8,Fri,68.741,,5.7177,252.18,6.0694,100.081,5.1227,,,1.9269
2458981,2020/5/11,Mon,68.686,0.0017975,5.7429,252.21,6.0846,100.191,5.1116,,0.0881,1.9284
2458982,2020/5/12,Tue,68.444,0.0017769,5.7195,251.58,6.0784,99.742,5.1208,,0.088012,1.9299
2458983,2020/5/13,Wed,68.572,0.001773,5.7372,251.84,6.0787,100.54,5.1169,,0.087512,1.9312
2458984,2020/5/14,Thu,68.667,0.001793,5.7441,252.47,6.0848,100.469,5.1065,,0.087513,1.9372
2458985,2020/5/15,Fri,68.909,0.0017701,5.7426,251.92,6.0886,100.105,5.1066,,0.083658,1.9393
2458989,2020/5/19,Tue,69.064,0.0016578,5.6564,250.08,6.0191,98.777,5.1245,,0.079695,1.9323
2458990,2020/5/20,Wed,69.198,0.0016191,5.6711,249.5,6.0429,97.552,5.1321,,0.07822,1.9316
2458991,2020/5/21,Thu,69.15,0.0016043,5.6288,249.59,6.0171,96.817,5.1279,,0.079351,1.934
2458992,2020/5/22,Fri,69.169,0.001631,5.6497,250.56,6.0528,97.679,5.117,,0.080109,1.9409
2458995,2020/5/25,Mon,69.109,,5.6192,250.52,6.0421,97.659,5.1165,,,1.9398
2458996,2020/5/26,Tue,68.762,0.0016422,5.5283,249.52,6.0169,96.721,5.1336,,0.078978,1.9356
2458997,2020/5/27,Wed,69.233,0.0016689,5.5184,249.04,6.0235,97.018,5.1272,,0.079416,1.9382
2458998,2020/5/28,Thu,69.367,0.0016674,5.5006,248.13,6.0219,96.528,5.1426,,0.078948,1.9393
2458999,2020/5/29,Fri,69.57,0.0016621,5.505,247.49,5.9996,96.699,5.1511,,0.077953,1.9381
2459002,2020/6/1,Mon,68.751,0.0016521,5.4411,247.44,5.9522,95.329,5.1537,,0.075602,1.9336
2459003,2020/6/2,Tue,68.993,0.0016276,5.4131,246.77,5.9582,94.544,5.1617,,0.075277,1.9265
2459004,2020/6/3,Wed,68.545,0.0016673,5.4097,245.93,5.9316,94.405,5.1703,,0.077111,1.9238
2459005,2020/6/4,Thu,68.817,0.0016551,5.4421,244.66,5.9329,95.622,5.1824,,0.077768,1.9304
2459006,2020/6/5,Fri,68.696,0.0016775,5.4055,244.96,5.887,94.592,5.1846,,0.078532,1.9232
2459009,2020/6/8,Mon,68.839,0.0016491,5.4206,245.21,5.9129,94.408,5.1864,,0.078386,1.9201
2459010,2020/6/9,Tue,69.153,0.0016618,5.4401,244.82,5.9174,94.947,5.1946,,0.078518,1.9231
2459011,2020/6/10,Wed,69.228,0.001655,5.4298,244.54,5.8962,95.235,5.2048,,0.07829,1.9193
2459012,2020/6/11,Thu,69.721,0.0016895,5.4818,244.7,5.9249,96.588,5.1984,,0.077507,1.9256
2459013,2020/6/12,Fri,69.404,0.001679,5.4391,245.74,5.9109,96.131,5.1808,,0.078308,1.9218
2459016,2020/6/15,Mon,69.377,0.001735,5.4314,245.41,5.9191,96.645,5.1814,,0.080834,1.9238
2459017,2020/6/16,Tue,69.258,0.0016781,5.4112,245.7,5.9107,96.075,5.1812,,0.079328,1.9237
2459018,2020/6/17,Wed,69.192,0.001684,5.4676,246.2,5.9456,96.116,5.1728,,0.078945,1.9217
2459019,2020/6/18,Thu,69.274,0.0016927,5.4933,246.35,5.9542,96.021,5.1681,,0.078223,1.9208
2459020,2020/6/19,Fri,69.063,0.0016795,5.477,246.47,5.9583,95.666,5.1663,,0.078586,1.922
2459023,2020/6/22,Mon,69.051,0.0016826,5.4667,245.9,5.9494,95.396,5.1767,,0.077251,1.9218
2459024,2020/6/23,Tue,69.435,0.0016834,5.4351,245.03,5.9333,95.085,5.1925,,0.077697,1.9234
2459025,2020/6/24,Wed,69.083,0.0017021,5.4431,245.58,5.9269,95.671,5.1783,,0.077312,1.9205
2459026,2020/6/25,Thu,68.985,0.0017288,5.4934,246.22,5.9568,95.385,5.1692,,0.078598,1.9176
2459027,2020/6/26,Fri,68.927,0.0017238,5.4947,246.09,5.9548,95.956,5.1662,,0.077247,1.9187
2459030,2020/6/29,Mon,68.804,0.0016963,5.4625,245.51,5.9243,96.643,5.1674,,0.076928,1.9203
2459031,2020/6/30,Tue,68.388,0.001692,5.4579,245.86,5.9279,98.116,5.1664,,0.07718,1.9211
2459033,2020/7/2,Thu,68.487,0.0016965,5.464,245.87,5.9055,97.139,5.1734,,0.076944,1.9234
2459034,2020/7/3,Fri,68.2,0.0017067,5.4877,245.97,5.94,98.456,5.1718,,0.076528,1.9226
2459037,2020/7/6,Mon,68.258,0.0016725,5.4597,245.04,5.91,99.218,5.1876,,0.07577,1.9254
2459038,2020/7/7,Tue,68.536,0.001666,5.4791,245.52,5.9341,98.853,5.187,,0.076735,1.9274
2459039,2020/7/8,Wed,68.319,0.0016407,5.4712,245.13,5.9165,98.665,5.1943,,0.07491,1.9288
2459040,2020/7/9,Thu,68.72,0.0016178,5.4737,245.52,5.9338,98.178,5.1942,,0.073525,1.9275
2459041,2020/7/10,Fri,68.494,0.0016586,5.4927,245.62,5.9451,98.107,5.195,,0.073784,1.9268
2459044,2020/7/13,Mon,68.544,0.0016407,5.4786,244.75,5.9296,98.013,5.2001,,0.072603,1.9251
2459045,2020/7/14,Tue,68.655,0.0016853,5.4603,244.06,5.9058,98.616,5.2025,,0.073404,1.9314
2459046,2020/7/15,Wed,68.522,0.0016678,5.4116,243.94,5.8658,98.599,5.2114,,0.071873,1.9303
2459047,2020/7/16,Thu,68.745,0.0016889,5.4666,243.97,5.8931,98.954,5.2066,,0.072136,1.9315
2459048,2020/7/17,Fri,68.704,0.0016859,5.4499,243.58,5.887,99.77,5.2104,,0.072503,1.9308
2459051,2020/7/20,Mon,68.483,0.0016451,5.405,243.69,5.8687,99.242,5.2136,,0.071507,1.9313
2459052,2020/7/21,Tue,68.689,0.0015961,5.3976,243.09,5.8879,98.611,5.2262,,0.06779,1.9304
2459053,2020/7/22,Wed,68.855,0.0015652,5.3396,241.71,5.837,99.132,5.235,,0.062761,1.9327
2459054,2020/7/23,Thu,69.093,0.0015417,5.3317,241.53,5.8407,99.549,5.2381,,0.0611,1.9356
2459055,2020/7/24,Fri,69.105,0.0015129,5.3105,241.25,5.8264,100.439,5.2478,,0.062267,1.9365
2459058,2020/7/27,Mon,69.138,0.001515,5.2634,239.83,5.7761,100.797,5.273,,0.05768,1.9388
2459059,2020/7/28,Tue,69.07,0.0014906,5.2768,240.31,5.792,101.992,5.2727,,0.059699,1.9379
2459060,2020/7/29,Wed,69.079,0.0014976,5.3058,239.84,5.8042,102.212,5.2799,,0.057847,1.9361
2459061,2020/7/30,Thu,69.25,0.0015838,5.292,239.47,5.8008,103.576,5.2873,,0.060864,1.9379
2459062,2020/7/31,Fri,69.127,0.0015587,5.237,239.44,5.7461,104.693,5.2903,,0.058603,1.9375
2459066,2020/8/4,Tue,68.955,0.0015454,5.2581,239.91,5.7717,103.665,5.2807,,0.057864,1.9362
2459067,2020/8/5,Wed,69.414,0.0014654,5.2473,238.71,5.774,103.047,5.3039,,0.052483,1.9354
2459068,2020/8/6,Thu,69.351,0.0014481,5.2575,238.92,5.769,103.79,5.3008,,0.050684,1.9357
2459069,2020/8/7,Fri,69.266,0.0014391,5.2682,239.67,5.7812,103.84,5.2837,,0.049732,1.9338
2459072,2020/8/10,Mon,69.038,0.0014281,5.2592,240.1,5.7776,103.373,5.2804,,0.049808,1.9335
2459073,2020/8/11,Tue,68.884,0.0014919,5.2627,239.94,5.7813,102.791,5.2816,,0.0498,1.9321
2459074,2020/8/12,Wed,68.768,0.0014983,5.2543,239.5,5.7701,103.649,5.2822,,0.054569,1.9324
2459075,2020/8/13,Thu,68.846,0.0014873,5.2399,239.06,5.7619,103.187,5.2882,,0.053713,1.9346
2459076,2020/8/14,Fri,68.748,0.0014819,5.254,239.04,5.7767,102.879,5.291,,0.052829,1.9341
2459079,2020/8/17,Mon,68.64,0.0014872,5.2308,238.72,5.7516,103.782,5.2996,,0.052494,1.9335
2459080,2020/8/18,Tue,68.86,0.0014813,5.2261,238.13,5.7604,103.72,5.3174,,0.050047,1.9345
2459081,2020/8/19,Wed,68.816,0.0014962,5.2217,238.54,5.7518,103.684,5.3082,,0.051582,1.9338
2459082,2020/8/20,Thu,68.747,0.0015429,5.2315,239.16,5.7649,104.475,5.301,,0.052511,1.9337
2459083,2020/8/21,Fri,68.573,0.0015665,5.2609,239.99,5.7904,105.479,5.2874,,0.052508,1.9347
2459086,2020/8/24,Mon,68.743,0.0015173,5.2635,239.52,5.7917,105.231,5.2929,,0.052487,1.9326
2459087,2020/8/25,Tue,68.492,0.0015179,5.2445,239.39,5.78,106.186,5.2942,,0.053279,1.9325
2459088,2020/8/26,Wed,68.468,0.0015422,5.2697,239.69,5.7892,106.805,5.2976,,0.053521,1.9306
2459089,2020/8/27,Thu,68.557,0.0015187,5.2559,239.66,5.7842,105.96,5.2965,,0.05184,1.9298
2459090,2020/8/28,Fri,68.874,0.0015248,5.2449,239.05,5.7791,105.228,5.3186,,0.05185,1.927
2459093,2020/8/31,Mon,68.658,,5.2198,238.42,5.7453,105.286,5.3264,,,1.9314
2459094,2020/9/1,Tue,69.175,0.0014864,5.2234,238.53,5.7553,104.63,5.3292,,0.049194,1.9324
2459095,2020/9/2,Wed,68.846,0.0015388,5.2753,239.74,5.7812,106.38,5.3098,,0.0511,1.9296
2459096,2020/9/3,Thu,68.802,0.001576,5.3073,239.64,5.8113,106.489,5.3077,,0.05261,1.9313
2459097,2020/9/4,Fri,68.67,0.0015661,5.3133,239.76,5.7924,106.629,5.304,,0.05274,1.9316
2459101,2020/9/8,Tue,68.76,0.0015664,5.3349,239.99,5.828,107.861,5.2934,,0.052908,1.933
2459102,2020/9/9,Wed,68.432,0.001541,5.3165,239.7,5.8052,106.497,5.2945,,0.053196,1.9299
2459103,2020/9/10,Thu,68.718,0.0015193,5.3127,238.74,5.7964,106.087,5.2998,,0.052128,1.9314
2459104,2020/9/11,Fri,68.556,0.0015191,5.297,238.97,5.7874,105.734,5.2927,,0.052513,1.93
2459107,2020/9/14,Mon,68.597,0.0014933,5.3013,238.81,5.7868,106.465,5.3035,,0.0526,1.9287
2459108,2020/9/15,Tue,68.566,0.001451,5.3009,239.21,5.7918,106.089,5.3059,,0.051359,1.9252
2459109,2020/9/16,Wed,68.467,0.001458,5.3041,239.84,5.796,105.92,5.3095,,0.051705,1.9222
2459110,2020/9/17,Thu,68.584,0.0015052,5.3482,239.97,5.8306,106.537,5.3072,,0.052901,1.9224
2459111,2020/9/18,Fri,68.604,0.0015084,5.3395,239.59,5.8157,106.968,5.3134,,0.052343,1.9236
2459114,2020/9/21,Mon,68.66,0.0015551,5.3875,240.58,5.8396,107.754,5.2904,,0.053507,1.922
2459115,2020/9/22,Tue,68.26,0.0016047,5.3907,241.01,5.8321,107.156,5.2838,,0.057979,1.9229
2459116,2020/9/23,Wed,68.384,0.0016502,5.4199,241.38,5.8638,107.939,5.2742,,0.059589,1.9269
2459117,2020/9/24,Thu,68.099,0.0016904,5.4546,241.58,5.8715,108.533,5.2684,,0.06322,1.9332
2459118,2020/9/25,Fri,68.174,0.0016686,5.5038,241.97,5.8899,109.802,5.2626,,0.062009,1.934
2459121,2020/9/28,Mon,68.179,0.0016313,5.4799,241.72,5.8703,111.18,5.2738,,0.061431,1.9308
2459122,2020/9/29,Tue,68.303,0.0016005,5.4737,240.76,5.8696,111.204,5.283,,0.059091,1.9282
2459123,2020/9/30,Wed,68.068,0.0015939,5.4506,241.06,5.8418,109.652,5.2853,,0.059388,1.9251
2459124,2020/10/1,Thu,68.33,0.0015702,5.3932,240.69,5.8499,109.033,5.2886,,0.059699,1.9219
2459125,2020/10/2,Fri,68.373,0.001582,5.4041,241.21,5.8575,110.424,5.2878,,0.059063,1.9221
2459128,2020/10/5,Mon,68.352,0.0015901,5.3975,240.31,5.8487,110.539,5.2958,,0.059044,1.9209
2459129,2020/10/6,Tue,68.501,0.0016081,5.3797,240.25,5.8458,110.228,5.2964,,0.058103,1.9203
2459130,2020/10/7,Wed,68.224,0.0016252,5.3716,240.31,5.8369,110.157,5.2915,,0.059952,1.9174
2459131,2020/10/8,Thu,68.198,0.0016191,5.3649,240.56,5.8333,109.024,5.2903,,0.058857,1.9158
2459132,2020/10/9,Fri,68.31,0.0015873,5.3494,240.19,5.8296,108.764,5.3109,,0.05823,1.9164
2459136,2020/10/13,Tue,68.801,0.0016248,5.3829,240.9,5.8509,109.011,5.2964,,0.056624,1.9201
2459137,2020/10/14,Wed,68.907,0.0016195,5.4256,241.09,5.8668,109.658,5.3029,,0.058482,1.918
2459138,2020/10/15,Thu,68.886,0.0016669,5.4955,241.64,5.8876,110.396,5.2897,,0.058918,1.919
2459139,2020/10/16,Fri,68.68,0.0016227,5.4751,241.44,5.8603,110.202,5.2954,,0.057954,1.9178
2459142,2020/10/19,Mon,68.673,0.00163,5.4864,240.76,5.8518,109.696,5.3067,,0.056958,1.9203
2459143,2020/10/20,Tue,68.475,0.0016314,5.4711,240.07,5.8237,109.759,5.3109,,0.057493,1.9213
2459144,2020/10/21,Wed,68.971,0.0015896,5.4828,240.1,5.8445,109.18,5.3295,,0.056799,1.9244
2459145,2020/10/22,Thu,68.829,0.0016299,5.4835,240.44,5.8376,108.533,5.3183,,0.056913,1.9237
2459146,2020/10/23,Fri,68.736,0.001547,5.4884,240.05,5.8378,108.248,5.3197,,0.057294,1.9267
2459149,2020/10/26,Mon,68.651,0.0016132,5.4962,240.32,5.8501,108.077,5.3117,,0.058334,1.9282
2459150,2020/10/27,Tue,68.424,0.001611,5.4879,240.33,5.8378,109.135,5.3168,,0.058017,1.9265
2459151,2020/10/28,Wed,68.44,0.0016397,5.5761,241.32,5.8857,111.38,5.3005,,0.059076,1.9291
2459152,2020/10/29,Thu,68.161,0.0016401,5.5584,242.18,5.8621,111.607,5.2903,,0.061284,1.9277
2459153,2020/10/30,Fri,68.403,0.0016558,5.5826,242.5,5.8849,111.834,5.291,,0.059714,1.9258
2459156,2020/11/2,Mon,68.119,0.0016478,5.5573,242.82,5.8781,113.609,5.2836,,0.058764,1.9245
2459157,2020/11/3,Tue,68.34,0.0016155,5.5171,241.96,5.8788,112.071,5.3014,,0.058485,1.9235
2459158,2020/11/4,Wed,68.37,0.0016197,5.469,241.99,5.8676,110.449,5.3033,,0.058979,1.9209
2459159,2020/11/5,Thu,68.559,0.0015842,5.408,241,5.8291,109.416,5.3293,,0.057836,1.9205
2459160,2020/11/6,Fri,68.399,0.0015631,5.4132,240.31,5.8207,110.519,5.34,,0.055235,1.9187
2459163,2020/11/9,Mon,68.477,0.0016397,5.3464,240.44,5.8234,108.274,5.326,,0.056563,1.9111
2459164,2020/11/10,Tue,68.506,0.0016322,5.4025,240.94,5.844,108.73,5.3253,,0.05869,1.9153
2459166,2020/11/12,Thu,68.937,0.0016216,5.412,240.98,5.8698,109.529,5.3215,,0.058595,1.9141
2459167,2020/11/13,Fri,68.511,0.0015839,5.3996,240.85,5.8579,110.135,5.3292,,0.0586,1.915
2459170,2020/11/16,Mon,68.506,0.0015642,5.373,240.82,5.8582,108.614,5.3326,,0.058599,1.914
2459171,2020/11/17,Tue,68.809,0.0015239,5.3912,240.67,5.8415,108.593,5.3441,,0.057848,1.9133
2459172,2020/11/18,Wed,68.724,0.0015211,5.3635,240.81,5.8479,108.242,5.3453,,0.058615,1.9117
2459173,2020/11/19,Thu,68.656,0.0015079,5.3719,240.89,5.8546,108.587,5.3375,,0.059359,1.9149
2459174,2020/11/20,Fri,68.811,0.0014905,5.3695,240.86,5.8622,108.412,5.3444,,0.058966,1.9142
2459177,2020/11/23,Mon,68.78,0.0015053,5.3661,240.93,5.8465,108.369,5.3408,,0.059569,1.9136
2459178,2020/11/24,Tue,68.533,0.0015219,5.3485,240.55,5.8349,107.874,5.3425,,0.061519,1.9127
2459179,2020/11/25,Wed,68.592,0.001494,5.3552,240.16,5.8414,107.923,5.351,,0.060946,1.9128
2459180,2020/11/26,Thu,68.696,0.001489,5.3689,240.19,5.8481,107.925,5.3496,,0.061066,1.9096
2459181,2020/11/27,Fri,68.657,0.0015049,5.3738,239.61,5.832,108.447,5.3565,,0.061731,1.9106
2459184,2020/11/30,Mon,68.866,0.0014592,5.3371,239.43,5.8172,108.951,5.3577,,0.064496,1.913
2459185,2020/12/1,Tue,68.804,0.001446,5.3501,238.62,5.8187,108.432,5.3698,,0.060828,1.9165
2459186,2020/12/2,Wed,68.831,0.0014193,5.316,237.74,5.7827,107.921,5.3773,,0.059779,1.9199
2459187,2020/12/3,Thu,68.819,0.0014058,5.2805,237.31,5.7523,107.072,5.3942,,0.059502,1.9183
2459188,2020/12/4,Fri,68.809,0.0013567,5.2721,237.38,5.738,106.415,5.394,,0.059366,1.9171
2459191,2020/12/7,Mon,69.146,0.0014043,5.2871,237.39,5.7682,105.747,5.3896,,0.060487,1.919
