Country,Last,Previous,Year,Reference,Unit
Gabon,3.25,3.25,2021,Aug/21,%
Gambia,10,10,2021,Sep/21,%
Georgia,10,10,2021,Sep/21,%
Germany,0,0,2021,Sep/21,%
Ghana,13.5,13.5,2021,Aug/21,%
Greece,0,0,2021,Sep/21,%
Guatemala,1.75,1.75,2021,Aug/21,%
Guinea,11.5,11.5,2021,Aug/21,%
Guinea Bissau,4,4,2021,Sep/21,%
Guyana,5,5,2021,Jun/21,%
Haiti,17,17,2021,Jun/21,%
Honduras,3,3,2021,Aug/21,%
Hong Kong,0.86,0.86,2021,Aug/21,%
Hungary,1.65,1.5,2021,Sep/21,%
Iceland,1.25,1,2021,Aug/21,%
India,4,4,2021,Aug/21,%
Indonesia,3.5,3.5,2021,Sep/21,%
Iran,18,18,2021,Aug/21,%
Iraq,4,4,2021,Aug/21,%
Ireland,0,0,2021,Sep/21,%
Israel,0.1,0.1,2021,Aug/21,%
Italy,0,0,2021,Sep/21,%
Ivory Coast,4,4,2021,Sep/21,%
Jamaica,0.5,0.5,2021,Aug/21,%
Japan,-0.1,-0.1,2021,Sep/21,%
Jordan,2.5,2.5,2021,Jul/21,%
Kazakhstan,9.5,9.25,2021,Sep/21,%
Kenya,7,7,2021,Aug/21,%
Kuwait,1.5,1.5,2021,Aug/21,%
Kyrgyzstan,7.5,7.5,2021,Sep/21,%
Laos,3,3,2021,Aug/21,%
Latvia,0,0,2021,Sep/21,%
Lebanon,10,10,2021,Jul/21,%
Lesotho,3.5,3.5,2021,Aug/21,%
Liberia,20,25,2021,Aug/21,%
Libya,3,3,2021,Jun/21,%
Lithuania,0,0,2021,Sep/21,%
Luxembourg,0,0,2021,Sep/21,%
Macau,0.5,0.5,2021,Aug/21,%
Macedonia,1.25,1.25,2021,Aug/21,%
Madagascar,9.5,9.5,2021,Aug/21,%
Malawi,12,12,2021,Aug/21,%
Malaysia,1.75,1.75,2021,Sep/21,%
Maldives,7,7,2021,Aug/21,%
Mali,4,4,2021,Sep/21,%
Malta,0,0,2021,Sep/21,%
Mauritania,5,5,2021,Jul/21,%
Mauritius,1.85,1.85,2021,Sep/21,%
Mexico,4.5,4.25,2021,Aug/21,%
Moldova,4.65,3.65,2021,Sep/21,%
Mongolia,6,6,2021,Aug/21,%
Morocco,1.5,1.5,2021,Jul/21,%
Mozambique,13.25,13.25,2021,Sep/21,%
Myanmar,7,7,2021,Jul/21,%
Namibia,3.75,3.75,2021,Aug/21,%
Nepal,5,5,2021,Aug/21,%
Netherlands,0,0,2021,Sep/21,%
New Caledonia,0.25,0.25,2021,Aug/21,%
New Zealand,0.25,0.25,2021,Aug/21,%
Nicaragua,9.59,9.07,2021,Jul/21,%
Niger,4,4,2021,Sep/21,%
Nigeria,11.5,11.5,2021,Sep/21,%
Norway,0.25,0,2021,Sep/21,%
Oman,0.5,0.5,2021,Aug/21,%
Pakistan,7.25,7,2021,Sep/21,%
Papua New Guinea,3,3,2021,Sep/21,%
Paraguay,1.5,1,2021,Sep/21,%
Peru,1,0.5,2021,Sep/21,%
Philippines,2,2,2021,Sep/21,%
Poland,0.1,0.1,2021,Sep/21,%
Portugal,0,0,2021,Sep/21,%
Qatar,2.5,2.5,2021,Jul/21,%
Republic of the Congo,3.25,3.25,2021,Aug/21,%
Romania,1.25,1.25,2021,Aug/21,%
Russia,6.75,6.5,2021,Sep/21,%
Rwanda,4.5,4.5,2021,Aug/21,%
Sao Tome and Principe,9,9,2021,Aug/21,%
Saudi Arabia,1,1,2021,Aug/21,%
Senegal,4,4,2021,Aug/21,%
Serbia,1,1,2021,Sep/21,%
Seychelles,2,2,2021,Sep/21,%
Sierra Leone,14,14,2021,Aug/21,%
Singapore,0.22,0.27,2021,Aug/21,%
Slovakia,0,0,2021,Sep/21,%
Slovenia,0,0,2021,Sep/21,%
South Africa,3.5,3.5,2021,Sep/21,%
South Korea,0.75,0.5,2021,Aug/21,%
South Sudan,15,15,2021,May/21,%
Spain,0,0,2021,Sep/21,%
Sri Lanka,5,4.5,2021,Aug/21,%
Sudan,19.6,18.8,2021,May/21,%
Suriname,25,25,2021,Jul/21,%
Swaziland,3.75,3.75,2021,Aug/21,%
Sweden,0,0,2021,Sep/21,%
Switzerland,-0.75,-0.75,2021,Sep/21,%
Taiwan,1.13,1.13,2021,Aug/21,%
Tajikistan,13,13,2021,Aug/21,%
Tanzania,5,5,2021,Sep/21,%
Thailand,0.5,0.5,2021,Aug/21,%
Togo,4,4,2021,Aug/21,%
Trinidad and Tobago,3.5,3.5,2021,Jul/21,%
Tunisia,6.25,6.25,2021,Aug/21,%
Turkey,18,19,2021,Sep/21,%
Uganda,6.5,6.5,2021,Aug/21,%
Ukraine,8.5,8,2021,Sep/21,%
United Arab Emirates,1.5,1.5,2021,Jul/21,%
United Kingdom,0.1,0.1,2021,Sep/21,%
United States,0.25,0.25,2021,Sep/21,%
Uruguay,5,4.5,2021,Aug/21,%
Uzbekistan,14,14,2021,Sep/21,%
Venezuela,54.06,56.26,2021,Aug/21,%
Vietnam,4,4,2021,Aug/21,%
Yemen,27,27,2021,Aug/21,%
Zambia,8.5,8.5,2021,Sep/21,%
Zimbabwe,40,40,2021,Aug/21,%
