PACIFIC Exchange Rate Service,,,,,,,
Jul.Day,YYYY/MM/DD,Wdy,USD/XDR,CAD/XDR,EUR/XDR,GBP/XDR,JPY/XDR
2458911,2020/3/2,Mon,1.3801,1.8432,1.2379,1.0799,148.77
2458912,2020/3/3,Tue,1.3809,1.8453,1.2375,1.0784,148.34
2458913,2020/3/4,Wed,1.3808,1.8492,1.2409,1.0756,148.29
2458914,2020/3/5,Thu,1.385,1.858,1.2369,1.071,147.58
2458915,2020/3/6,Fri,1.3917,1.8678,1.2299,1.0694,146.61
2458918,2020/3/9,Mon,1.4005,1.9045,1.224,1.0678,143.19
2458919,2020/3/10,Tue,1.3927,1.9123,1.2281,1.0742,145.42
2458920,2020/3/11,Wed,1.3902,1.9108,1.2303,1.0784,145.53
2458921,2020/3/12,Thu,1.3811,1.9086,1.2362,1.0953,145.03
2458922,2020/3/13,Fri,1.3745,1.9107,1.2383,1.107,147.66
2458925,2020/3/16,Mon,1.3769,1.9227,1.2346,1.1228,145.77
2458926,2020/3/17,Tue,1.3672,1.938,1.2444,1.1323,146.71
2458927,2020/3/18,Wed,1.3586,1.9694,1.2487,1.1591,146.75
2458928,2020/3/19,Thu,1.3485,1.9547,1.2566,1.1604,148.53
2458929,2020/3/20,Fri,1.3476,1.9314,1.2601,1.149,149.49
2458932,2020/3/23,Mon,1.3487,1.9532,1.2533,1.1673,149.67
2458933,2020/3/24,Tue,1.3517,1.9587,1.2528,1.151,150.44
2458934,2020/3/25,Wed,1.3528,1.9348,1.2487,1.146,150.69
2458935,2020/3/26,Thu,1.3643,1.9205,1.2401,1.1291,149.45
2458936,2020/3/27,Fri,1.3691,1.9244,1.2396,1.109,148.15
2458939,2020/3/30,Mon,1.3691,1.9381,1.2413,1.1044,147.83
2458940,2020/3/31,Tue,1.3677,1.9404,1.2451,1.1023,147.67
2458941,2020/4/1,Wed,1.3659,1.942,1.2498,1.102,146.45
2458942,2020/4/2,Thu,1.363,1.9326,1.2552,1.1004,146.74
2458943,2020/4/3,Fri,1.3585,1.9212,1.2584,1.1085,147.33
2458946,2020/4/6,Mon,1.3582,1.9187,1.2581,1.105,148.16
2458947,2020/4/7,Tue,1.3637,1.9073,1.2511,1.1048,148.54
2458948,2020/4/8,Wed,1.3627,1.9124,1.2537,1.0998,148.25
2458949,2020/4/9,Thu,1.3661,1.9105,1.2506,1.0968,148.21
2458953,2020/4/13,Mon,1.3668,1.9048,1.2524,1.0926,147.2
2458954,2020/4/14,Tue,1.3704,1.9054,1.2492,1.0873,146.91
2458955,2020/4/15,Wed,1.3664,1.9247,1.253,1.0921,146.92
2458956,2020/4/16,Thu,1.3637,1.9258,1.2562,1.0944,146.79
2458957,2020/4/17,Fri,1.3649,1.9159,1.2553,1.0923,146.81
2458960,2020/4/20,Mon,1.3641,1.9215,1.2552,1.0955,146.9
2458961,2020/4/21,Tue,1.3617,1.934,1.2549,1.1082,146.62
2458962,2020/4/22,Wed,1.3614,1.9271,1.2567,1.1043,146.77
2458963,2020/4/23,Thu,1.3608,1.9137,1.2602,1.1013,146.42
2458964,2020/4/24,Fri,1.3606,1.9171,1.26,1.1022,146.23
2458967,2020/4/27,Mon,1.3628,1.9152,1.2578,1.0974,146.09
2458968,2020/4/28,Tue,1.3641,1.9067,1.2578,1.0958,145.66
2458969,2020/4/29,Wed,1.3646,1.8998,1.2567,1.0972,145.58
2458970,2020/4/30,Thu,1.3681,1.903,1.2531,1.0889,146.27
2458971,2020/5/1,Fri,1.3704,1.9276,1.2474,1.0951,146.36
2458974,2020/5/4,Mon,1.3668,1.9251,1.2524,1.0994,146.06
2458975,2020/5/5,Tue,1.3649,1.9152,1.2579,1.0962,145.42
2458976,2020/5/6,Wed,1.362,1.9237,1.2603,1.1019,144.53
2458977,2020/5/7,Thu,1.3617,1.9085,1.2605,1.1038,144.91
2458978,2020/5/8,Fri,1.364,1.9005,1.2579,1.0991,145.41
2458981,2020/5/11,Mon,1.3607,1.9066,1.258,1.1032,146.44
2458982,2020/5/12,Tue,1.3629,1.9101,1.2549,1.1071,146.25
2458983,2020/5/13,Wed,1.3617,1.9163,1.2562,1.1117,145.73
2458984,2020/5/14,Thu,1.3591,1.9149,1.2593,1.1142,145.62
2458985,2020/5/15,Fri,1.3594,1.916,1.2566,1.1201,145.7
2458989,2020/5/19,Tue,1.3644,1.8955,1.2474,1.1134,147.17
2458990,2020/5/20,Wed,1.3665,1.8984,1.2445,1.1154,146.93
2458991,2020/5/21,Thu,1.3652,1.9024,1.245,1.1163,147.02
2458992,2020/5/22,Fri,1.3619,1.9086,1.2498,1.1183,146.48
2458995,2020/5/25,Mon,1.3618,1.9044,1.2496,1.1169,146.71
2458996,2020/5/26,Tue,1.3663,1.8861,1.2446,1.1073,147
2458997,2020/5/27,Wed,1.3652,1.8812,1.2422,1.1143,147.08
2458998,2020/5/28,Thu,1.369,1.8842,1.2377,1.1116,147.44
2458999,2020/5/29,Fri,1.3712,1.8905,1.2345,1.1118,147.58
2459002,2020/6/1,Mon,1.3729,1.8713,1.2342,1.1022,147.81
2459003,2020/6/2,Tue,1.3753,1.8587,1.2309,1.0963,149.3
2459004,2020/6/3,Wed,1.3772,1.8598,1.2267,1.0943,149.86
2459005,2020/6/4,Thu,1.3804,1.8646,1.2204,1.0966,150.37
2459006,2020/6/5,Fri,1.3806,1.854,1.2218,1.0886,151.35
2459009,2020/6/8,Mon,1.3819,1.8495,1.2231,1.0886,150.12
2459010,2020/6/9,Tue,1.3843,1.8581,1.2212,1.0884,149.25
2459011,2020/6/10,Wed,1.3869,1.8571,1.2198,1.0865,148.8
2459012,2020/6/11,Thu,1.3854,1.8777,1.2205,1.0969,147.96
2459013,2020/6/12,Fri,1.3802,1.8765,1.2257,1.101,148.22
2459016,2020/6/15,Mon,1.3811,1.8788,1.2241,1.0993,148.29
2459017,2020/6/16,Tue,1.3811,1.8725,1.2255,1.096,148.26
2459018,2020/6/17,Wed,1.3792,1.8695,1.228,1.0996,147.9
2459019,2020/6/18,Thu,1.3779,1.8724,1.2288,1.1087,147.2
2459020,2020/6/19,Fri,1.3772,1.8712,1.2294,1.1134,147.22
2459023,2020/6/22,Mon,1.3797,1.8688,1.2266,1.1086,147.5
2459024,2020/6/23,Tue,1.3838,1.8703,1.2222,1.1059,147.27
2459025,2020/6/24,Wed,1.3804,1.8761,1.2249,1.1089,147.49
2459026,2020/6/25,Thu,1.3778,1.88,1.2281,1.11,147.69
2459027,2020/6/26,Fri,1.3773,1.8836,1.2275,1.1154,147.62
2459030,2020/6/29,Mon,1.3774,1.8845,1.2246,1.1208,148.27
2459031,2020/6/30,Tue,1.3773,1.877,1.2264,1.1151,148.49
2459033,2020/7/2,Thu,1.3792,1.8738,1.2264,1.1054,148.36
2459034,2020/7/3,Fri,1.379,1.8707,1.2269,1.1062,148.23
2459037,2020/7/6,Mon,1.3832,1.8732,1.2223,1.1068,148.67
2459038,2020/7/7,Tue,1.3828,1.8782,1.2246,1.1011,148.71
2459039,2020/7/8,Wed,1.3847,1.8746,1.2227,1.0999,148.66
2459040,2020/7/9,Thu,1.3849,1.8772,1.2247,1.0966,148.51
2459041,2020/7/10,Fri,1.3849,1.8827,1.2251,1.0963,148.01
2459044,2020/7/13,Mon,1.3864,1.8809,1.2208,1.1001,148.69
2459045,2020/7/14,Tue,1.387,1.8885,1.2174,1.1062,148.7
2459046,2020/7/15,Wed,1.3893,1.8803,1.2168,1.1024,148.52
2459047,2020/7/16,Thu,1.3883,1.8801,1.2169,1.1039,148.86
2459048,2020/7/17,Fri,1.3892,1.8856,1.215,1.1071,148.71
2459051,2020/7/20,Mon,1.3901,1.8826,1.2155,1.0992,149.06
2459052,2020/7/21,Tue,1.3934,1.8736,1.2125,1.0943,148.94
2459053,2020/7/22,Wed,1.3961,1.8736,1.2057,1.0971,149.65
2459054,2020/7/23,Thu,1.3967,1.8705,1.2048,1.0974,149.4
2459055,2020/7/24,Fri,1.3995,1.8782,1.2034,1.095,148.24
2459058,2020/7/27,Mon,1.4059,1.8809,1.1963,1.0923,148.1
2459059,2020/7/28,Tue,1.4056,1.8797,1.1986,1.0873,147.78
2459060,2020/7/29,Wed,1.4077,1.8807,1.1963,1.0846,147.85
2459061,2020/7/30,Thu,1.4096,1.8934,1.1945,1.0796,148.04
2459062,2020/7/31,Fri,1.4106,1.8908,1.1943,1.0748,149
2459066,2020/8/4,Tue,1.4078,1.8826,1.1966,1.0793,149.05
2459067,2020/8/5,Wed,1.4142,1.8754,1.1907,1.0768,149.2
2459068,2020/8/6,Thu,1.4133,1.8786,1.1917,1.0747,149.1
2459069,2020/8/7,Fri,1.4089,1.8847,1.1955,1.0795,149.11
2459072,2020/8/10,Mon,1.4081,1.8803,1.1976,1.0768,149.12
2459073,2020/8/11,Tue,1.4083,1.8718,1.1968,1.076,149.87
2459074,2020/8/12,Wed,1.4084,1.8667,1.1946,1.0804,150.54
2459075,2020/8/13,Thu,1.41,1.8636,1.1924,1.0778,150.77
2459076,2020/8/14,Fri,1.4108,1.8693,1.1923,1.0766,150.27
2459079,2020/8/17,Mon,1.4129,1.866,1.1907,1.0787,149.88
2459080,2020/8/18,Tue,1.4176,1.867,1.1878,1.0719,149.48
2459081,2020/8/19,Wed,1.4154,1.8642,1.1898,1.0745,149.62
2459082,2020/8/20,Thu,1.4133,1.8649,1.1929,1.0734,149.67
2459083,2020/8/21,Fri,1.4099,1.8617,1.1971,1.077,149.3
2459086,2020/8/24,Mon,1.4111,1.8636,1.1947,1.0788,149.45
2459087,2020/8/25,Tue,1.4116,1.8625,1.1941,1.0747,150.2
2459088,2020/8/26,Wed,1.4127,1.8584,1.1956,1.0712,149.87
2459089,2020/8/27,Thu,1.4124,1.8543,1.1954,1.0697,150.27
2459090,2020/8/28,Fri,1.4181,1.8573,1.1924,1.0644,149.42
2459093,2020/8/31,Mon,1.42,1.852,1.1892,1.063,150.45
2459094,2020/9/1,Tue,1.421,1.8551,1.1898,1.0593,150.58
2459095,2020/9/2,Wed,1.4157,1.8499,1.1958,1.0626,150.4
2459096,2020/9/3,Thu,1.4152,1.8572,1.1953,1.0664,150.26
2459097,2020/9/4,Fri,1.4142,1.8511,1.1959,1.0681,150.37
2459101,2020/9/8,Tue,1.4113,1.8617,1.1971,1.0836,149.53
2459102,2020/9/9,Wed,1.4115,1.8594,1.1956,1.0868,149.95
2459103,2020/9/10,Thu,1.4129,1.8597,1.1908,1.0981,149.98
2459104,2020/9/11,Fri,1.4113,1.8609,1.192,1.1028,149.83
2459107,2020/9/14,Mon,1.4141,1.8631,1.1912,1.0985,149.53
2459108,2020/9/15,Tue,1.4147,1.864,1.1932,1.098,149.12
2459109,2020/9/16,Wed,1.4157,1.8642,1.1963,1.0909,148.54
2459110,2020/9/17,Thu,1.4148,1.8676,1.1969,1.0939,148.1
2459111,2020/9/18,Fri,1.4164,1.8677,1.1951,1.0941,147.88
2459114,2020/9/21,Mon,1.4105,1.8749,1.2,1.1012,147.52
2459115,2020/9/22,Tue,1.4089,1.8752,1.2022,1.1051,147.77
2459116,2020/9/23,Wed,1.406,1.8781,1.204,1.1035,148.12
2459117,2020/9/24,Thu,1.4047,1.8787,1.205,1.1021,148.05
2459118,2020/9/25,Fri,1.4033,1.8798,1.2069,1.1033,148.13
2459121,2020/9/28,Mon,1.4062,1.8812,1.2057,1.0938,148.36
2459122,2020/9/29,Tue,1.4084,1.886,1.2009,1.0956,148.86
2459123,2020/9/30,Wed,1.409,1.8794,1.2024,1.0928,148.69
2459124,2020/10/1,Thu,1.4101,1.8743,1.2005,1.0933,148.87
2459125,2020/10/2,Fri,1.4095,1.8761,1.2032,1.0899,148.43
2459128,2020/10/5,Mon,1.412,1.8736,1.1987,1.0883,149.18
2459129,2020/10/6,Tue,1.4119,1.8739,1.1984,1.0906,149.08
2459130,2020/10/7,Wed,1.4107,1.8727,1.1987,1.0933,149.45
2459131,2020/10/8,Thu,1.4102,1.8643,1.1999,1.0907,149.5
2459132,2020/10/9,Fri,1.4159,1.8599,1.1981,1.0888,149.63
2459136,2020/10/13,Tue,1.4119,1.8543,1.2016,1.0888,149.06
2459137,2020/10/14,Wed,1.4138,1.8576,1.2026,1.0851,148.61
2459138,2020/10/15,Thu,1.4102,1.8657,1.2053,1.092,148.54
2459139,2020/10/16,Fri,1.4118,1.8624,1.2043,1.0927,148.75
2459142,2020/10/19,Mon,1.4148,1.8626,1.2009,1.0897,149.13
2459143,2020/10/20,Tue,1.4161,1.8604,1.1975,1.094,149.55
2459144,2020/10/21,Wed,1.4211,1.8648,1.1976,1.0816,148.59
2459145,2020/10/22,Thu,1.418,1.8635,1.1993,1.0833,148.61
2459146,2020/10/23,Fri,1.4186,1.864,1.1974,1.0874,148.65
2459149,2020/10/26,Mon,1.4164,1.8697,1.1987,1.0878,148.63
2459150,2020/10/27,Tue,1.4177,1.8662,1.1987,1.086,148.11
2459151,2020/10/28,Wed,1.4134,1.8801,1.2037,1.0892,147.46
2459152,2020/10/29,Thu,1.4105,1.8828,1.208,1.0915,147.44
2459153,2020/10/30,Fri,1.4107,1.8788,1.2096,1.0889,147.59
2459156,2020/11/2,Mon,1.4089,1.8677,1.2112,1.0915,147.65
2459157,2020/11/3,Tue,1.4136,1.8581,1.2069,1.0847,147.82
2459158,2020/11/4,Wed,1.414,1.8577,1.207,1.0883,147.67
2459159,2020/11/5,Thu,1.421,1.8546,1.2021,1.0845,147.31
2459160,2020/11/6,Fri,1.424,1.8567,1.1987,1.083,147.12
2459163,2020/11/9,Mon,1.42,1.8417,1.1993,1.0794,149.61
2459164,2020/11/10,Tue,1.42,1.8484,1.2018,1.0721,149.55
2459166,2020/11/12,Thu,1.4189,1.862,1.202,1.0803,149.2
2459167,2020/11/13,Fri,1.4208,1.8679,1.2014,1.0785,148.72
2459170,2020/11/16,Mon,1.4219,1.8606,1.2012,1.0781,148.73
2459171,2020/11/17,Tue,1.4248,1.8656,1.2005,1.0751,148.42
2459172,2020/11/18,Wed,1.4252,1.8618,1.2011,1.0728,147.99
2459173,2020/11/19,Thu,1.4234,1.8623,1.2015,1.0755,147.92
2459174,2020/11/20,Fri,1.4249,1.8625,1.2014,1.0729,147.94
2459177,2020/11/23,Mon,1.424,1.8629,1.2018,1.0683,148.44
2459178,2020/11/24,Tue,1.4245,1.8565,1.1998,1.0677,149
2459179,2020/11/25,Wed,1.4267,1.8552,1.1979,1.0671,148.89
2459180,2020/11/26,Thu,1.4265,1.8563,1.1981,1.069,148.74
2459181,2020/11/27,Fri,1.4281,1.8544,1.1952,1.0721,148.59
2459184,2020/11/30,Mon,1.4286,1.8522,1.1943,1.0702,149.01
2459185,2020/12/1,Tue,1.4316,1.8542,1.1903,1.069,149.41
2459186,2020/12/2,Wed,1.4335,1.8541,1.1859,1.0745,149.89
2459187,2020/12/3,Thu,1.4382,1.8523,1.1837,1.0676,149.38
2459188,2020/12/4,Fri,1.4382,1.841,1.1841,1.0672,149.67
2459191,2020/12/7,Mon,1.4366,1.8389,1.1841,1.0767,149.39
2459192,2020/12/8,Tue,1.4357,1.8388,1.1854,1.0754,149.5
2459193,2020/12/9,Wed,1.4347,1.8368,1.1872,1.0705,149.58
2459194,2020/12/10,Thu,1.4353,1.8277,1.1836,1.0799,149.69
2459195,2020/12/11,Fri,1.4345,1.8317,1.1839,1.086,149.16
2459198,2020/12/14,Mon,1.4369,1.8331,1.1826,1.0766,149.4
2459199,2020/12/15,Tue,1.4379,1.8294,1.1833,1.0722,149.21
2459200,2020/12/16,Wed,1.4401,1.8365,1.1824,1.0671,149.19
2459201,2020/12/17,Thu,1.4446,1.8372,1.1786,1.0625,148.89
2459202,2020/12/18,Fri,1.4427,1.843,1.1786,1.0685,149.11
2459205,2020/12/21,Mon,1.4405,1.8508,1.1784,1.0781,149.02
2459206,2020/12/22,Tue,1.439,1.8575,1.1808,1.0769,149.07
2459207,2020/12/23,Wed,1.4404,1.8517,1.1818,1.0674,149.09
2459208,2020/12/24,Thu,1.441,1.8495,1.1823,1.0622,149.4
2459213,2020/12/29,Tue,1.4429,1.8478,1.1778,1.0691,149.5
2459214,2020/12/30,Wed,1.4459,1.8462,1.1766,1.0627,149.25
2459215,2020/12/31,Thu,1.4451,1.8399,1.1788,1.0586,148.98
2459219,2021/1/4,Mon,1.4465,1.8444,1.1792,1.0651,149.1
2459220,2021/1/5,Tue,1.448,1.84,1.1786,1.0639,148.74
2459221,2021/1/6,Wed,1.4481,1.8369,1.1765,1.0651,149.47
2459222,2021/1/7,Thu,1.4453,1.8366,1.1781,1.0653,150.05
2459223,2021/1/8,Fri,1.4441,1.8348,1.1803,1.0636,150.02
2459226,2021/1/11,Mon,1.4399,1.8414,1.1842,1.0664,150.07
2459227,2021/1/12,Tue,1.4421,1.8381,1.1848,1.0584,150.05
2459228,2021/1/13,Wed,1.442,1.8328,1.1856,1.0569,149.74
2459229,2021/1/14,Thu,1.4413,1.8238,1.187,1.0545,149.74
2459230,2021/1/15,Fri,1.4387,1.8311,1.1895,1.0582,149.35
2459233,2021/1/18,Mon,1.4376,1.8346,1.1907,1.0592,149.04
2459234,2021/1/19,Tue,1.4401,1.8339,1.1875,1.0573,149.59
2459235,2021/1/20,Wed,1.44,1.8225,1.1897,1.0549,149.26
2459236,2021/1/21,Thu,1.4429,1.8219,1.1871,1.0516,149.34
2459237,2021/1/22,Fri,1.4422,1.834,1.1851,1.055,149.71
2459240,2021/1/25,Mon,1.4411,1.8357,1.1871,1.0542,149.61
2459241,2021/1/26,Tue,1.4429,1.8328,1.1866,1.0511,149.61
2459242,2021/1/27,Wed,1.4396,1.8391,1.1896,1.051,149.76
2459243,2021/1/28,Thu,1.4411,1.8461,1.1883,1.0505,150.33
2459244,2021/1/29,Fri,1.4418,1.8426,1.1878,1.0509,150.91
2459247,2021/2/1,Mon,1.4378,1.8438,1.1906,1.0513,150.89
2459248,2021/2/2,Tue,1.4357,1.8403,1.1938,1.052,150.84
2459249,2021/2/3,Wed,1.4355,1.835,1.1941,1.0519,150.78
2459250,2021/2/4,Thu,1.4331,1.8384,1.197,1.0486,151.06
2459251,2021/2/5,Fri,1.4359,1.8346,1.1936,1.0463,151.37
2459254,2021/2/8,Mon,1.4371,1.8327,1.193,1.0467,151.34
2459255,2021/2/9,Tue,1.441,1.8328,1.1905,1.0446,150.72
2459256,2021/2/10,Wed,1.4419,1.8296,1.1887,1.0415,150.96
2459257,2021/2/11,Thu,1.4416,1.8288,1.1881,1.0432,151.02
2459258,2021/2/12,Fri,1.4407,1.8313,1.1895,1.0411,151.22
2459262,2021/2/16,Tue,1.4404,1.827,1.1892,1.036,152.38
2459263,2021/2/17,Wed,1.437,1.8268,1.1936,1.0372,152.23
2459264,2021/2/18,Thu,1.4392,1.8272,1.1913,1.0308,152.14
2459265,2021/2/19,Fri,1.4422,1.8191,1.1895,1.0289,152.23
2459268,2021/2/22,Mon,1.444,1.8213,1.1881,1.0269,151.77
2459269,2021/2/23,Tue,1.4439,1.8197,1.1884,1.0244,152.02
2459270,2021/2/24,Wed,1.4432,1.8109,1.1887,1.0227,152.95
2459271,2021/2/25,Thu,1.4455,1.8112,1.1839,1.0255,153.49
2459272,2021/2/26,Fri,1.4392,1.8256,1.1895,1.0319,153.29
2459275,2021/3/1,Mon,1.4369,1.8193,1.1927,1.0316,153.4
2459276,2021/3/2,Tue,1.4376,1.8151,1.1915,1.0307,153.56
2459277,2021/3/3,Wed,1.4377,1.8159,1.1916,1.0297,153.76
2459278,2021/3/4,Thu,1.4347,1.813,1.1944,1.0287,154.43
2459279,2021/3/5,Fri,1.4288,1.81,1.1988,1.0331,154.7
2459282,2021/3/8,Mon,1.4253,1.8045,1.2016,1.0305,155.16
2459283,2021/3/9,Tue,1.4278,1.804,1.2004,1.0276,155.12
2459284,2021/3/10,Wed,1.4286,1.8054,1.1997,1.0271,154.97
2459285,2021/3/11,Thu,1.4319,1.7986,1.1964,1.0248,155.32
2459286,2021/3/12,Fri,1.4294,1.7857,1.1969,1.0279,155.82
2459289,2021/3/15,Mon,1.4286,1.7829,1.198,1.0281,155.99
2459290,2021/3/16,Tue,1.428,1.7786,1.1992,1.0282,155.61
2459291,2021/3/17,Wed,1.4284,1.7805,1.1984,1.0278,155.91
2459292,2021/3/18,Thu,1.4288,1.78,1.1984,1.0256,155.86
2459293,2021/3/19,Fri,1.4273,1.785,1.1996,1.0292,155.49
2459296,2021/3/22,Mon,1.4287,1.7877,1.1974,1.0313,155.46
2459297,2021/3/23,Tue,1.4255,1.7907,1.2012,1.0346,154.91
2459298,2021/3/24,Wed,1.423,1.7876,1.2033,1.0379,154.77
2459299,2021/3/25,Thu,1.4208,1.791,1.2054,1.035,155.07
2459300,2021/3/26,Fri,1.4209,1.7876,1.2053,1.0306,155.85
2459303,2021/3/29,Mon,1.4197,1.788,1.2057,1.0296,155.75
2459304,2021/3/30,Tue,1.4165,1.7892,1.2083,1.032,156.26
2459305,2021/3/31,Wed,1.4176,1.7827,1.2079,1.0283,156.93
2459306,2021/4/1,Thu,1.4187,1.7826,1.206,1.0266,156.92
2459310,2021/4/5,Mon,1.4213,1.7802,1.2042,1.0228,156.57
2459311,2021/4/6,Tue,1.4234,1.7877,1.2015,1.0289,156.4
2459312,2021/4/7,Wed,1.4241,1.7968,1.1984,1.0354,156.38
2459313,2021/4/8,Thu,1.4254,1.793,1.1971,1.0369,155.64
2459314,2021/4/9,Fri,1.4242,1.7865,1.1974,1.0377,156.16
2459317,2021/4/12,Mon,1.4255,1.7894,1.1968,1.0369,155.87
2459318,2021/4/13,Tue,1.4266,1.791,1.1953,1.0383,155.74
2459319,2021/4/14,Wed,1.4289,1.7908,1.1936,1.0368,155.72
2459320,2021/4/15,Thu,1.4294,1.791,1.1942,1.0368,155.33
2459321,2021/4/16,Fri,1.4299,1.7878,1.1936,1.0348,155.6
2459324,2021/4/19,Mon,1.4343,1.7956,1.192,1.0264,155.06
2459325,2021/4/20,Tue,1.4344,1.8033,1.1916,1.0284,155.19
2459326,2021/4/21,Wed,1.4339,1.7957,1.1926,1.0297,155.06
2459327,2021/4/22,Thu,1.4331,1.7914,1.1924,1.035,154.96
2459328,2021/4/23,Fri,1.4356,1.7929,1.189,1.0354,154.83
2459331,2021/4/26,Mon,1.4361,1.7825,1.1886,1.0339,155.27
2459332,2021/4/27,Tue,1.4358,1.7809,1.1884,1.0325,155.81
2459333,2021/4/28,Wed,1.4359,1.7744,1.1876,1.0325,156.33
2459334,2021/4/29,Thu,1.4374,1.7669,1.1861,1.0306,156.64
2459335,2021/4/30,Fri,1.4334,1.761,1.19,1.0357,156.53
2459338,2021/5/3,Mon,1.4346,1.7615,1.1896,1.0317,156.58
2459339,2021/5/4,Tue,1.4326,1.7643,1.1919,1.0325,156.55
2459340,2021/5/5,Wed,1.4322,1.7575,1.1935,1.0299,156.5
2459341,2021/5/6,Thu,1.4345,1.7501,1.1899,1.0328,156.54
2459342,2021/5/7,Fri,1.4398,1.7503,1.1857,1.0305,156.41
2459345,2021/5/10,Mon,1.4422,1.7443,1.1861,1.0203,156.87
2459346,2021/5/11,Tue,1.4423,1.7446,1.186,1.0194,156.61
2459347,2021/5/12,Wed,1.4375,1.7388,1.1893,1.0204,157.22
2459348,2021/5/13,Thu,1.4366,1.7455,1.1893,1.0233,157.39
2459349,2021/5/14,Fri,1.4398,1.7435,1.1863,1.0217,157.5
2459352,2021/5/17,Mon,1.4408,1.7407,1.1857,1.0202,157.24
2459353,2021/5/18,Tue,1.4446,1.7409,1.1823,1.0176,157.4
2459354,2021/5/19,Wed,1.4435,1.7466,1.1826,1.0203,157.21
2459355,2021/5/20,Thu,1.4441,1.7431,1.1822,1.0194,157.17
2459356,2021/5/21,Fri,1.4429,1.7403,1.1843,1.0185,157.07
2459360,2021/5/25,Tue,1.4457,1.7431,1.1804,1.0223,157.46
2459361,2021/5/26,Wed,1.4443,1.7491,1.1831,1.0222,157.58
2459362,2021/5/27,Thu,1.4439,1.7432,1.184,1.018,158.33
2459363,2021/5/28,Fri,1.4435,1.7446,1.1849,1.0181,158.6
2459366,2021/5/31,Mon,1.4453,1.7448,1.183,1.0181,158.33
2459367,2021/6/1,Tue,1.4455,1.7404,1.1816,1.0204,158.22
2459368,2021/6/2,Wed,1.4442,1.7405,1.1833,1.0192,158.37
2459369,2021/6/3,Thu,1.44,1.7428,1.1865,1.0203,158.72
2459370,2021/6/4,Fri,1.4424,1.743,1.1857,1.0179,158.02
